Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 20:23:09,STARLINK-31922,15.66,72.35,507.3,41515.4,148101.3,483455.8
2025-07-31 20:23:09,STARLINK-31485,65.78,71.64,508.4,146067.6,65707.8,482468.0
2025-07-31 20:23:09,STARLINK-31048,145.66,67.07,513.9,112929.5,-165325.5,473298.5
2025-07-31 20:23:09,STARLINK-30562,77.19,60.21,543.0,263089.7,59806.3,471272.4
2025-07-31 20:23:09,STARLINK-32500,106.96,58.42,561.8,281420.6,-85841.9,478597.5
2025-07-31 20:23:09,STARLINK-6152,289.22,78.09,572.3,-111556.4,38895.5,559985.2
2025-07-31 20:23:09,STARLINK-31658,261.03,55.13,585.7,-330750.5,-52203.1,480506.3
2025-07-31 20:23:09,STARLINK-32472,106.07,54.2,587.2,330012.2,-95075.6,476251.0
2025-07-31 20:23:09,STARLINK-11710 [DTC],164.75,33.42,588.1,129083.6,-473524.0,323928.0
2025-07-31 20:23:09,STARLINK-31571,11.46,53.2,594.9,70789.9,349253.8,476334.4
2025-07-31 20:23:09,STARLINK-30496,70.33,67.59,602.5,216276.3,77330.5,557012.2
2025-07-31 20:23:09,STARLINK-31226,345.15,51.64,606.4,-96472.5,363740.6,475504.4
2025-07-31 20:23:09,STARLINK-33546,171.79,48.93,625.9,58711.6,-406936.5,471874.9
2025-07-31 20:23:09,STARLINK-2147,213.76,58.87,631.1,-181282.6,-271224.0,540219.2
2025-07-31 20:23:09,STARLINK-32581,33.78,63.5,639.0,158531.1,236976.3,571813.1
2025-07-31 20:23:09,STARLINK-1470,3.88,52.58,654.0,26869.4,396470.8,519454.7
2025-07-31 20:23:09,STARLINK-4269,57.79,54.12,655.0,324822.6,204628.6,530735.7
2025-07-31 20:23:09,STARLINK-5586,330.33,56.97,658.5,-177641.0,311868.9,552035.1
2025-07-31 20:23:09,STARLINK-11353 [DTC],50.18,30.79,659.3,434942.6,362695.2,337491.0
2025-07-31 20:23:09,STARLINK-33734,302.7,42.36,680.3,-423005.9,271566.8,458366.3
2025-07-31 20:23:09,STARLINK-30842,132.44,53.51,682.0,299298.6,-273666.4,548317.7
2025-07-31 20:23:09,STARLINK-30102,200.57,52.8,687.5,-146005.6,-389136.1,547603.6
2025-07-31 20:23:09,STARLINK-31455,288.78,42.7,688.2,-478920.4,162822.4,466696.8
2025-07-31 20:23:09,STARLINK-30474,41.65,51.28,701.7,291728.9,327976.1,547431.0
2025-07-31 20:23:09,STARLINK-32647,279.66,40.49,713.3,-534797.2,90996.7,463126.3
2025-07-31 20:23:09,STARLINK-30190,53.24,41.56,717.7,430228.8,321343.3,476102.0
2025-07-31 20:23:09,STARLINK-5664,297.85,48.18,729.8,-430256.2,227319.5,543927.8
2025-07-31 20:23:09,STARLINK-5676,255.28,47.27,738.2,-484460.8,-127265.9,542263.1
2025-07-31 20:23:09,STARLINK-3665,223.12,44.69,740.0,-359570.6,-383972.2,520435.6
2025-07-31 20:23:09,STARLINK-32433,76.82,38.02,746.6,572678.4,134134.9,459788.9
2025-07-31 20:23:09,STARLINK-32076,36.48,35.75,768.5,370789.8,501487.2,449042.8
2025-07-31 20:23:09,STARLINK-2498,327.13,43.19,769.2,-304337.2,471050.9,526530.9
2025-07-31 20:23:09,STARLINK-3044,156.89,41.91,772.9,225776.1,-529017.2,516221.9
2025-07-31 20:23:09,STARLINK-5658,48.41,43.86,777.7,419360.8,372227.0,538832.8
2025-07-31 20:23:09,STARLINK-30439,69.18,42.8,790.2,541947.8,206048.4,536907.1
2025-07-31 20:23:09,STARLINK-4190,290.11,40.67,790.8,-563283.2,206247.6,515353.0
2025-07-31 20:23:09,STARLINK-32533,298.42,34.2,793.0,-576812.5,312189.8,445788.1
2025-07-31 20:23:09,STARLINK-3550,344.42,40.04,800.3,-164507.9,590145.5,514886.5
2025-07-31 20:23:09,STARLINK-6163,107.12,41.25,809.7,581809.7,-179219.6,533839.9
2025-07-31 20:23:09,STARLINK-32037,213.47,32.96,812.1,-375769.2,-568413.9,441858.0
2025-07-31 20:23:09,STARLINK-3778,54.44,37.92,830.7,533047.1,381105.9,510572.5
2025-07-31 20:23:09,STARLINK-2536,166.72,37.23,849.8,155437.9,-658534.4,514138.7
2025-07-31 20:23:09,STARLINK-3098,97.94,36.48,852.2,678642.6,-94644.4,506692.7
2025-07-31 20:23:09,STARLINK-3779,359.46,35.67,868.0,-6637.1,705089.2,506184.6
2025-07-31 20:23:09,STARLINK-30186,212.97,33.65,931.3,-421911.2,-650377.1,516081.9
2025-07-31 20:23:09,STARLINK-6108,262.73,32.47,956.6,-800574.9,-102142.1,513564.5
2025-07-31 20:23:09,STARLINK-4542,100.83,30.13,974.7,827922.2,-158449.8,489314.8
2025-07-31 20:23:09,STARLINK-30036,288.18,31.28,982.8,-797988.0,262058.4,510335.6
2025-07-31 20:23:09,STARLINK-6170,142.72,30.19,1004.1,525681.2,-690637.3,504950.3
2025-07-31 20:23:12,STARLINK-11490 [DTC],252.51,54.39,437.3,-242863.5,-76522.7,355524.0
2025-07-31 20:23:12,STARLINK-11391 [DTC],315.93,44.93,494.0,-243257.9,251282.3,348938.4
2025-07-31 20:23:12,STARLINK-31922,22.16,71.05,510.9,62583.1,153642.9,483184.4
2025-07-31 20:23:12,STARLINK-31485,70.31,69.8,513.6,167028.0,59771.7,482034.6
2025-07-31 20:23:12,STARLINK-31048,144.24,64.88,522.0,129491.9,-179807.0,472616.6
2025-07-31 20:23:12,STARLINK-30562,75.08,58.42,552.3,279487.2,74467.5,470503.6
2025-07-31 20:23:12,STARLINK-6152,289.42,80.23,568.6,-91007.8,32088.8,560307.4
2025-07-31 20:23:12,STARLINK-32500,104.42,56.91,570.3,301556.8,-77555.6,477857.0
2025-07-31 20:23:12,STARLINK-31658,261.62,56.95,574.5,-310001.0,-45678.9,481536.1
2025-07-31 20:23:12,STARLINK-11710 [DTC],162.22,33.68,584.7,148609.2,-463296.0,324264.5
2025-07-31 20:23:12,STARLINK-31571,14.76,52.67,598.6,92494.1,351084.3,475986.0
2025-07-31 20:23:12,STARLINK-32472,106.21,52.45,599.2,350659.8,-101937.9,475115.0
2025-07-31 20:23:12,STARLINK-31226,348.36,52.11,602.9,-74719.4,362640.5,475833.0
2025-07-31 20:23:12,STARLINK-30496,70.46,65.69,610.4,236840.0,84060.4,556275.3
2025-07-31 20:23:12,STARLINK-2147,212.71,60.58,621.3,-164895.8,-256756.9,541205.3
2025-07-31 20:23:12,STARLINK-33546,169.34,48.04,633.5,78385.1,-416271.7,471098.7
2025-07-31 20:23:12,STARLINK-32581,37.79,64.37,634.7,168235.9,216984.2,572197.5
2025-07-31 20:23:12,STARLINK-5586,333.13,57.97,652.0,-156273.3,308464.1,552696.4
2025-07-31 20:23:12,STARLINK-4269,60.77,53.49,659.7,342460.1,191665.9,530234.4
2025-07-31 20:23:12,STARLINK-1470,6.21,51.55,662.3,44536.6,409405.8,518633.5
2025-07-31 20:23:12,STARLINK-11353 [DTC],52.3,30.45,664.8,453488.2,350476.5,336892.8
2025-07-31 20:23:12,STARLINK-33734,302.32,43.72,665.5,-406431.4,257169.7,459904.9
2025-07-31 20:23:12,STARLINK-31455,288.82,44.05,673.5,-458244.1,156138.7,468255.5
2025-07-31 20:23:12,STARLINK-30842,129.66,52.92,686.7,318786.2,-264242.0,547832.5
2025-07-31 20:23:12,STARLINK-30102,197.62,52.61,689.0,-126621.8,-398784.2,547418.1
2025-07-31 20:23:12,STARLINK-32647,280.57,41.65,699.2,-513608.6,95822.2,464694.2
2025-07-31 20:23:12,STARLINK-30474,43.37,50.16,711.6,313081.1,331368.8,546343.3
2025-07-31 20:23:12,STARLINK-5664,299.44,49.26,719.4,-408913.3,230745.5,545114.4
2025-07-31 20:23:12,STARLINK-5676,255.43,48.61,724.9,-463936.3,-120545.2,543801.7
2025-07-31 20:23:12,STARLINK-30190,54.23,40.45,731.4,451536.0,325346.8,474526.3
2025-07-31 20:23:12,STARLINK-3665,220.75,44.6,741.0,-344394.4,-399758.4,520286.5
2025-07-31 20:23:12,STARLINK-2498,327.91,44.35,755.6,-287037.4,457759.7,528143.7
2025-07-31 20:23:12,STARLINK-32433,77.67,36.99,761.2,593963.5,129825.4,458048.0
2025-07-31 20:23:12,STARLINK-3044,154.85,42.36,767.2,240933.5,-513226.7,516928.6
2025-07-31 20:23:12,STARLINK-32076,38.49,35.65,770.1,389417.9,489773.3,448837.1
2025-07-31 20:23:12,STARLINK-4190,289.27,41.73,776.8,-547295.7,191384.6,517044.3
2025-07-31 20:23:12,STARLINK-32533,300.14,34.68,785.2,-558423.4,324238.5,446775.2
